DATE,FLOW CFS,FLOW TAF
20170101 0000,4538,9
20170102 0000,4458,8.84
20170103 0000,6186,12.27
20170104 0000,13115,26.01
20170105 0000,11797,23.4
20170106 0000,2027,4.02
20170107 0000,18432,36.56
20170108 0000,91920,182.32
20170109 0000,92011,182.5
20170110 0000,89198,176.92
20170111 0000,69631,138.11
20170112 0000,37993,75.36
20170113 0000,29001,57.52
20170114 0000,23565,46.74
20170115 0000,17670,35.05
20170116 0000,15874,31.49
20170117 0000,13713,27.2
20170118 0000,16459,32.65
20170119 0000,20379,40.42
20170120 0000,20351,40.37
20170121 0000,18452,36.6
20170122 0000,20571,40.8
20170123 0000,17241,34.2
20170124 0000,13950,27.67
20170125 0000,10552,20.93
20170126 0000,11430,22.67
20170127 0000,9627,19.09
20170128 0000,9191,18.23
20170129 0000,8420,16.7
20170130 0000,8862,17.58
20170131 0000,8300,16.46
20170201 0000,8644,17.15
20170202 0000,9381,18.61
20170203 0000,20210,40.09
20170204 0000,36027,71.46
20170205 0000,30856,61.2
20170206 0000,48795,96.78
20170207 0000,106845,211.92
20170208 0000,101841,202
20170209 0000,155498,308.43
20170210 0000,127679,253.25
20170211 0000,84437,167.48
20170212 0000,69167,137.19
20170213 0000,14441,28.64
20170214 0000,28388,56.31
20170215 0000,25032,49.65
20170216 0000,26535,52.63
20170217 0000,29364,58.24
20170218 0000,39131,77.62
20170219 0000,35733,70.88
20170220 0000,61271,121.53
20170221 0000,76938,152.6
20170222 0000,55568,110.22
20170223 0000,41276,81.87
20170224 0000,32259,63.98
20170225 0000,26893,53.34
20170226 0000,22843,45.31
20170227 0000,19884,39.44
20170228 0000,19700,39.07
20170301 0000,17893,35.49
20170302 0000,17060,33.84
20170303 0000,16739,33.2
20170304 0000,16333,32.4
20170305 0000,17903,35.51
20170306 0000,15139,30.03
20170307 0000,16476,32.68
20170308 0000,14773,29.3
20170309 0000,14942,29.64
20170310 0000,15353,30.45
20170311 0000,15888,31.51
20170312 0000,15626,30.99
20170313 0000,16507,32.74
20170314 0000,17064,33.85
20170315 0000,17199,34.11
20170316 0000,18333,36.36
20170317 0000,18866,37.42
20170318 0000,18677,37.05
20170319 0000,20166,40
20170320 0000,20033,39.73
20170321 0000,35176,69.77
20170322 0000,37886,75.15
20170323 0000,29513,58.54
20170324 0000,28709,56.94
20170325 0000,27287,54.12
20170326 0000,24532,48.66
20170327 0000,21743,43.13
20170328 0000,19980,39.63
20170329 0000,17834,35.37
20170330 0000,18431,36.56
20170331 0000,16940,33.6
20170401 0000,16241,32.21
20170402 0000,16192,32.12
20170403 0000,16581,32.89
20170404 0000,17013,33.74
20170405 0000,17027,33.77
20170406 0000,19339,38.36
20170407 0000,37443,74.27
20170408 0000,37533,74.45
20170409 0000,31641,62.76
20170410 0000,28676,56.88
20170411 0000,23555,46.72
20170412 0000,24803,49.2
20170413 0000,35865,71.14
20170414 0000,29391,58.3
20170415 0000,27839,55.22
20170416 0000,25955,51.48
20170417 0000,29174,57.87
20170418 0000,31635,62.75
20170419 0000,28306,56.14
20170420 0000,28195,55.92
20170421 0000,25078,49.74
20170422 0000,24027,47.66
20170423 0000,22299,44.23
20170424 0000,22330,44.29
20170425 0000,22286,44.2
20170426 0000,21018,41.69
20170427 0000,21122,41.89
20170428 0000,20689,41.04
20170429 0000,19134,37.95
20170430 0000,19257,38.2
20170501 0000,18296,36.29
20170502 0000,18390,36.48
20170503 0000,19645,38.97
20170504 0000,20488,40.64
20170505 0000,21166,41.98
20170506 0000,20292,40.25
20170507 0000,18573,36.84
20170508 0000,17927,35.56
